x_i,n,sum1,sum2
-5.500000000000000e+00,12,-1.468724064659286e+00,-1.468724064659286e+00
-5.250000000000000e+00,12,-1.505332166049412e+00,-1.505332166049410e+00
-5.000000000000000e+00,12,-1.549931244200772e+00,-1.549931244200772e+00
-4.750000000000000e+00,11,-1.600425006206572e+00,-1.600425006206573e+00
-4.500000000000000e+00,11,-1.654140416102422e+00,-1.654140416102422e+00
-4.250000000000000e+00,11,-1.707913489042747e+00,-1.707913489042746e+00
-4.000000000000000e+00,10,-1.758203134965381e+00,-1.758203134965382e+00
-3.750000000000000e+00,10,-1.801228725735089e+00,-1.801228725735088e+00
-3.500000000000000e+00,9,-1.833125407830005e+00,-1.833125407830003e+00
-3.250000000000000e+00,9,-1.850110367646365e+00,-1.850110367646365e+00
-3.000000000000000e+00,9,-1.848652528492745e+00,-1.848652528492745e+00
-2.750000000000000e+00,8,-1.825637502828880e+00,-1.825637502828880e+00
-2.500000000000000e+00,8,-1.778520172496720e+00,-1.778520172496720e+00
-2.250000000000000e+00,7,-1.705457207155664e+00,-1.705457207155664e+00
-2.000000000000000e+00,7,-1.605412978451791e+00,-1.605412978451792e+00
-1.750000000000000e+00,7,-1.478233419079037e+00,-1.478233419079037e+00
-1.500000000000000e+00,6,-1.324683528790126e+00,-1.324683528790126e+00
-1.250000000000000e+00,6,-1.146446415449974e+00,-1.146446415449974e+00
-1.000000000000000e+00,5,-9.460830726323451e-01,-9.460830726323453e-01
-7.500000000000000e-01,5,-7.269542472459831e-01,-7.269542472459831e-01
-5.000000000000000e-01,4,-4.931074174461452e-01,-4.931074174461451e-01
-2.500000000000000e-01,3,-2.491335720486111e-01,-2.491335720486111e-01
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00
