,x,n,s1,s2
0,-20.000000000000000,34.000000000000000,0.167024662620456,0.167024664580822
1,-19.800000000000001,33.000000000000000,0.177028648374592,0.177028639242053
2,-19.600000000000001,33.000000000000000,0.180040732252089,0.18004072830081
3,-19.400000000000002,33.000000000000000,0.175869179343856,0.175869180820882
4,-19.200000000000003,33.000000000000000,0.164606660062955,0.164606655482203
5,-19.000000000000004,32.000000000000000,0.146629433587766,0.146629434078932
6,-18.800000000000004,32.000000000000000,0.122585341305755,0.122585341334343
7,-18.600000000000005,32.000000000000000,0.09337081457069,0.093370814342052
8,-18.400000000000006,31.000000000000000,0.060097899730537,0.06009789952077
9,-18.200000000000006,31.000000000000000,0.024052296244183,0.024052296299487
10,-18.000000000000007,31.000000000000000,-0.013355803576364,-0.013355802977458
11,-17.800000000000008,31.000000000000000,-0.050646445045999,-0.050646445597522
12,-17.600000000000009,30.000000000000000,-0.086327921655413,-0.086327921133488
13,-17.400000000000009,30.000000000000000,-0.118955859570388,-0.118955859565176
14,-17.200000000000010,30.000000000000000,-0.147191148296633,-0.147191148251295
15,-17.000000000000011,30.000000000000000,-0.16985425294758,-0.169854253821541
16,-16.800000000000011,29.000000000000000,-0.185973860542703,-0.185973860439844
17,-16.600000000000012,29.000000000000000,-0.194827853377632,-0.194827853469178
18,-16.400000000000013,29.000000000000000,-0.195974827598709,-0.195974827627651
19,-16.200000000000014,28.000000000000000,-0.189274954459929,-0.189274954202119
20,-16.000000000000014,28.000000000000000,-0.17489907776446,-0.174899077712325
21,-15.800000000000015,28.000000000000000,-0.153325749605778,-0.153325749619398
22,-15.600000000000016,28.000000000000000,-0.125325964931388,-0.125325965156662
23,-15.400000000000016,27.000000000000000,-0.091936222051529,-0.091936222088407
24,-15.200000000000017,27.000000000000000,-0.054420793976637,-0.054420794025646
25,-15.000000000000018,27.000000000000000,-0.014224471427501,-0.014224471393391
26,-14.800000000000018,26.000000000000000,0.027082305532238,0.027082305437943
27,-14.600000000000019,26.000000000000000,0.067864063856486,0.06786406385072
28,-14.400000000000020,26.000000000000000,0.106484116304309,0.106484116338834
29,-14.200000000000021,26.000000000000000,0.141369383597214,0.141369383592973
30,-14.000000000000021,25.000000000000000,0.17107348307909,0.171073483081273
31,-13.800000000000022,25.000000000000000,0.194335638614667,0.194335638607299
