,x_i,n,sum1,sum2
0,2.0,100,0.098937491401395,0.098937491401395
1,2.01,100,0.097936465636588,0.097936465636588
2,2.02,100,0.096949499203416,0.096949499203416
3,2.029999999999999,100,0.095976337974996,0.095976337974996
4,2.039999999999999,100,0.095016733465784,0.095016733465784
5,2.049999999999999,100,0.094070442682627,0.094070442682628
6,2.059999999999999,100,0.093137227980385,0.093137227980385
7,2.069999999999999,100,0.09221685692196,0.09221685692196
8,2.079999999999998,100,0.091309102142582,0.091309102142582
9,2.089999999999998,100,0.090413741218198,0.090413741218198
10,2.099999999999998,100,0.089530556537839,0.089530556537839
11,2.109999999999998,100,0.088659335179796,0.088659335179796
12,2.119999999999997,100,0.087799868791517,0.087799868791517
13,2.129999999999997,100,0.086951953473059,0.086951953473059
14,2.139999999999997,100,0.086115389664001,0.086115389664001
15,2.149999999999997,100,0.085289982033689,0.085289982033689
16,2.159999999999997,100,0.084475539374702,0.084475539374702
17,2.169999999999996,100,0.083671874499433,0.083671874499433
18,2.179999999999996,100,0.082878804139686,0.082878804139686
19,2.189999999999996,100,0.082096148849176,0.082096148849176
20,2.199999999999996,100,0.081323732908851,0.081323732908851
21,2.209999999999996,100,0.080561384234928,0.080561384234928
22,2.219999999999995,100,0.079808934289571,0.079808934289571
23,2.229999999999995,100,0.079066217994112,0.079066217994112
24,2.239999999999995,100,0.07833307364473,0.07833307364473
25,2.249999999999995,100,0.077609342830529,0.077609342830529
26,2.259999999999994,100,0.076894870353905,0.076894870353905
27,2.269999999999994,100,0.076189504153166,0.076189504153166
28,2.279999999999994,100,0.075493095227297,0.075493095227297
29,2.289999999999994,100,0.074805497562829,0.074805497562829
30,2.299999999999994,100,0.074126568062733,0.074126568062733
31,2.309999999999993,100,0.073456166477271,0.073456166477271
32,2.319999999999993,100,0.072794155336759,0.072794155336759
33,2.329999999999993,100,0.072140399886159,0.072140399886159
34,2.339999999999993,100,0.071494768021468,0.071494768021468
35,2.349999999999993,100,0.070857130227823,0.070857130227824
36,2.359999999999992,100,0.070227359519293,0.070227359519293
37,2.369999999999992,100,0.069605331380284,0.069605331380284
38,2.379999999999992,100,0.068990923708528,0.068990923708528
39,2.389999999999992,100,0.068384016759587,0.068384016759587
40,2.399999999999991,100,0.067784493092846,0.067784493092846
41,2.409999999999991,100,0.067192237518933,0.067192237518933
42,2.419999999999991,100,0.066607137048532,0.066607137048532
43,2.429999999999991,100,0.066029080842547,0.066029080842547
44,2.439999999999991,100,0.065457960163572,0.065457960163572
45,2.44999999999999,100,0.064893668328631,0.064893668328631
46,2.45999999999999,100,0.064336100663147,0.064336100663147
47,2.46999999999999,100,0.063785154456114,0.063785154456114
48,2.47999999999999,100,0.063240728916419,0.063240728916419
49,2.48999999999999,100,0.062702725130293,0.062702725130293
50,2.499999999999989,100,0.062171046019859,0.06217104601986
51,2.509999999999989,100,0.061645596302734,0.061645596302735
52,2.519999999999989,100,0.061126282452663,0.061126282452663
53,2.529999999999989,100,0.060613012661155,0.060613012661156
54,2.539999999999988,100,0.060105696800088,0.060105696800088
55,2.549999999999988,100,0.059604246385253,0.059604246385253
56,2.559999999999988,100,0.059108574540826,0.059108574540826
57,2.569999999999988,100,0.058618595964712,0.058618595964712
58,2.579999999999988,100,0.058134226894772,0.058134226894772
59,2.589999999999987,100,0.057655385075873,0.057655385075873
60,2.599999999999987,100,0.057181989727768,0.057181989727767
61,2.609999999999987,100,0.056713961513758,0.056713961513758
62,2.619999999999987,100,0.056251222510132,0.056251222510132
63,2.629999999999987,100,0.055793696176356,0.055793696176356
64,2.639999999999986,100,0.055341307325982,0.055341307325982
65,2.649999999999986,100,0.054893982098277,0.054893982098277
66,2.659999999999986,100,0.054451647930532,0.054451647930532
67,2.669999999999986,100,0.054014233531043,0.054014233531043
68,2.679999999999986,100,0.053581668852743,0.053581668852743
69,2.689999999999985,100,0.05315388506747,0.05315388506747
70,2.699999999999985,100,0.052730814540844,0.052730814540844
