,x_i,sum_1,sum_2
0,2.00,1.634983900184892,1.634983900184893
1,2.02,1.617677278771463,1.617677278771464
2,2.04,1.601005739227423,1.601005739227422
3,2.06,1.584939504416232,1.584939504416232
4,2.08,1.569450448561479,1.569450448561479
5,2.10,1.554511995096478,1.554511995096479
6,2.12,1.540099021309862,1.540099021309863
7,2.14,1.526187769311539,1.526187769311539
8,2.16,1.512755762877928,1.512755762877929
9,2.18,1.499781729767373,1.499781729767372
10,2.20,1.487245529126130,1.487245529126129
11,2.22,1.475128083632784,1.475128083632785
12,2.24,1.463411316054233,1.463411316054233
13,2.26,1.452078089909825,1.452078089909824
14,2.28,1.441112153962044,1.441112153962046
15,2.30,1.430498090272199,1.430498090272200
16,2.32,1.420221265578164,1.420221265578164
17,2.34,1.410267785768650,1.410267785768650
18,2.36,1.400624453244308,1.400624453244308
19,2.38,1.391278726970915,1.391278726970915
20,2.40,1.382218685043581,1.382218685043581
21,2.42,1.373432989593696,1.373432989593696
22,2.44,1.364910853882118,1.364910853882119
23,2.46,1.356642011433085,1.356642011433086
24,2.48,1.348616687073471,1.348616687073470
25,2.50,1.340825569751464,1.340825569751464
26,2.52,1.333259787017472,1.333259787017473
27,2.54,1.325910881058167,1.325910881058167
28,2.56,1.318770786182121,1.318770786182121
29,2.58,1.311831807662519,1.311831807662519
30,2.60,1.305086601848837,1.305086601848838
31,2.62,1.298528157465494,1.298528157465494
32,2.64,1.292149778021014,1.292149778021015
33,2.66,1.285945065256504,1.285945065256504
34,2.68,1.279907903567000,1.279907903567000
35,2.70,1.274032445333819,1.274032445333820
36,2.72,1.268313097110155,1.268313097110155
37,2.74,1.262744506606056,1.262744506606056
38,2.76,1.257321550422569,1.257321550422568
39,2.78,1.252039322488118,1.252039322488119
40,2.80,1.246893123153384,1.246893123153384
41,2.82,1.241878448903770,1.241878448903769
42,2.84,1.236990982651334,1.236990982651333
43,2.86,1.232226584570503,1.232226584570503
44,2.88,1.227581283444272,1.227581283444271
45,2.90,1.223051268489732,1.223051268489733
46,2.92,1.218632881633872,1.218632881633871
47,2.94,1.214322610212371,1.214322610212371
48,2.96,1.210117080066005,1.210117080066005
49,2.98,1.206013049010801,1.206013049010800
50,3.00,1.202007400659678,1.202007400659678
51,3.02,1.198097138574733,1.198097138574735
52,3.04,1.194279380730636,1.194279380730635
53,3.06,1.190551354270820,1.190551354270819
54,3.08,1.186910390539421,1.186910390539422
55,3.10,1.183353920372829,1.183353920372830
56,3.12,1.179879469635863,1.179879469635863
57,3.14,1.176484654988458,1.176484654988458
58,3.16,1.173167179869653,1.173167179869652
59,3.18,1.169924830686458,1.169924830686458
60,3.20,1.166755473195992,1.166755473195992
61,3.22,1.163657049069948,1.163657049069948
62,3.24,1.160627572631161,1.160627572631161
63,3.26,1.157665127752639,1.157665127752639
64,3.28,1.154767864910026,1.154767864910026
65,3.30,1.151933998378999,1.151933998378998
66,3.32,1.149161803569625,1.149161803569625
67,3.34,1.146449614490181,1.146449614490181
68,3.36,1.143795821333366,1.143795821333367
69,3.38,1.141198868178300,1.141198868178300
70,3.40,1.138657250802031,1.138657250802031
71,3.42,1.136169514594723,1.136169514594724
72,3.44,1.133734252572961,1.133734252572961
73,3.46,1.131350103485975,1.131350103485974
74,3.48,1.129015750009892,1.129015750009892
75,3.50,1.126729917025402,1.126729917025402
76,3.52,1.124491369974449,1.124491369974450
77,3.54,1.122298913291897,1.122298913291897
78,3.56,1.120151388908251,1.120151388908251
79,3.58,1.118047674819827,1.118047674819828
80,3.60,1.115986683722909,1.115986683722909
81,3.62,1.113967361708629,1.113967361708629
82,3.64,1.111988687015543,1.111988687015544
83,3.66,1.110049668836977,1.110049668836976
84,3.68,1.108149346180401,1.108149346180400
85,3.70,1.106286786776291,1.106286786776292
86,3.72,1.104461086033991,1.104461086033991
87,3.74,1.102671366042282,1.102671366042282
88,3.76,1.100916774612492,1.100916774612491
89,3.78,1.099196484362056,1.099196484362057
90,3.80,1.097509691836600,1.097509691836600
91,3.82,1.095855616668667,1.095855616668667
92,3.84,1.094233500771376,1.094233500771375
93,3.86,1.092642607565317,1.092642607565317
94,3.88,1.091082221237149,1.091082221237150
95,3.90,1.089551646028387,1.089551646028387
96,3.92,1.088050205552975,1.088050205552974
97,3.94,1.086577242142322,1.086577242142323
98,3.96,1.085132116216534,1.085132116216534
99,3.98,1.083714205680602,1.083714205680603
100,4.00,1.082322905344473,1.082322905344473
