,x_i,n,sum_1,sum_2
0,-10.000000000000000,100.000000000000000,6.778888436604538e+24,4.835703278458517e+25
1,-9.900000000000000,100.000000000000000,2.8324285287458593e+23,-2.0551738933448696e+25
2,-9.800000000000001,100.000000000000000,-6.890510875439178e+21,-1.5111572745182865e+24
3,-9.700000000000001,100.000000000000000,-1.9450325456903224e+22,-5.100155801499217e+23
4,-9.600000000000001,100.000000000000000,-3.702907420574385e+21,-5.666839779443574e+22
5,-9.500000000000002,100.000000000000000,-1.4972211578957496e+20,-3.541774862152234e+21
6,-9.400000000000002,100.000000000000000,-6.267710111495712e+19,5.1650883406386745e+20
7,-9.300000000000002,100.000000000000000,-1.2389928577921972e+19,-3.6893488147419103e+19
8,-9.200000000000003,100.000000000000000,5.500005999070509e+17,3.91993311566328e+19
9,-9.100000000000003,100.000000000000000,-8.4441938014032e+16,-1.152921504606847e+19
10,-9.000000000000004,100.000000000000000,-1.2586579295223932e+16,-8.646911284551352e+17
11,-8.900000000000004,100.000000000000000,1.95725665526589e+16,-1.8014398509481984e+16
12,-8.800000000000004,100.000000000000000,1210711039047655.2,-3.377699720527872e+16
13,-8.700000000000005,100.000000000000000,102785397644501.47,4222124650659840.0
14,-8.600000000000005,100.000000000000000,10297164005650.516,-633318697598976.0
15,-8.500000000000005,100.000000000000000,-17285777438624.24,105553116266496.0
16,-8.400000000000006,100.000000000000000,-2038776815543.4062,-43980465111040.0
17,-8.300000000000006,99.000000000000000,-337757238752.2109,6597069766656.0
18,-8.200000000000006,97.000000000000000,-66863852641.37342,68719476736.0
19,-8.100000000000007,95.000000000000000,-9531600525.405857,0.0
20,-8.000000000000007,92.000000000000000,-1989113109.9248362,-30064771072.0
21,-7.900000000000007,90.000000000000000,967032505.2510487,-8053063680.0
22,-7.800000000000008,88.000000000000000,-64762028.62585757,1207959552.0
23,-7.700000000000008,86.000000000000000,-21022936.24772171,33554432.0
24,-7.600000000000009,84.000000000000000,3935960.0993747227,-25165824.0
25,-7.500000000000009,82.000000000000000,-522677.7305621691,35651584.0
26,-7.400000000000009,80.000000000000000,-11748.802513961065,2097152.0
27,-7.300000000000010,78.000000000000000,-14548.668451461526,1572864.0
